BULTEN_TARIHI,MAL_TIPI,MAL_ADI,BIRIM,ASGARI_FIYAT,AZAMI_UCRET,ORTALAMA_UCRET
01/02/2025,SEBZE,PORTAKAL  ,KG,20,45.0,32.5
01/02/2025,SEBZE,PORTAKAL DİĞER,KG,10,30.0,20.0
01/02/2025,SEBZE,AVAKADO,ADET,25,50.0,37.5
01/02/2025,SEBZE,HINDISTAN CEVIZI,ADET,40,65.0,52.5
01/02/2025,SEBZE,MUZ  ITHAL,KG,45,75.0,60.0
01/02/2025,SEBZE,ZENCEFİL,KG,80,200.0,140.0
01/03/2025,SEBZE,BİBER  KIL ACI,KG,40,105.0,72.5
01/03/2025,SEBZE,BİBER ÇARLİSTON,KG,30,80.0,55.0
01/03/2025,SEBZE,BİBER KÖY(MAZO),KG,25,90.0,57.5
01/03/2025,SEBZE,BROKOLI,KG,25,40.0,32.5
01/03/2025,SEBZE,DOMATES  BEEF,KG,15,50.0,32.5
01/03/2025,SEBZE,DOMATES CHERRY,KG,30,70.0,50.0
01/03/2025,SEBZE,DOMATES (KOKTEYL),KG,35,75.0,55.0
01/03/2025,SEBZE,DOMATES SALKIM  (İYİ TARIM),KG,30,85.0,57.5
01/03/2025,SEBZE,FASULYE   CALI,KG,45,90.0,67.5
01/03/2025,SEBZE,HAVUÇ BEYPAZARI,KG,8,25.0,16.5
01/03/2025,SEBZE,KABAK  BAL,KG,15,25.0,20.0
01/03/2025,SEBZE,KARNABAHAR,KG,25,55.0,40.0
01/03/2025,SEBZE,KAVUN  SERA,KG,20,35.0,27.5
01/03/2025,SEBZE,KAVUN KIRKAĞAÇ,KG,15,30.0,22.5
01/03/2025,SEBZE,LAHANA  BEYAZ,KG,10,30.0,20.0
01/03/2025,SEBZE,LAHANA  KIRMIZI,KG,25,60.0,42.5
01/03/2025,SEBZE,MANTAR (İSTİRİDYE),KG,65,170.0,117.5
01/03/2025,SEBZE,MARUL AYSBERG,ADET,12,45.0,28.5
01/03/2025,SEBZE,MARUL LOLOROSSO,ADET,10,40.0,25.0
01/03/2025,SEBZE,PATATES  CALMA,KG,10,25.0,17.5
01/03/2025,SEBZE,PATATES TAZE,KG,10,35.0,22.5
01/03/2025,SEBZE,PATLICAN TOPAN,KG,35,80.0,57.5
01/03/2025,SEBZE,PIRASA,KG,10,35.0,22.5
01/03/2025,SEBZE,SALATALIK  SİLOR,KG,25,55.0,40.0
01/03/2025,SEBZE,SARIMSAK  KURU,KG,60,200.0,130.0
01/03/2025,SEBZE,SOĞAN   KIRMIZI,KG,17,50.0,33.5
01/03/2025,SEBZE,SOĞAN   TAZE,KG,35,80.0,57.5
01/03/2025,SEBZE,TURP  KIRMIZI,KG,15,25.0,20.0
01/03/2025,SEBZE,Y.DEREOTU,BAĞ,3,8.0,5.5
01/03/2025,SEBZE,Y.MAYDONOZ,BAĞ,3,6.0,4.5
01/03/2025,SEBZE,Y.REYHAN,ADET,8,18.0,13.0
01/03/2025,SEBZE,Y.TERE,BAĞ,3,7.0,5.0
01/03/2025,SEBZE,ARMUT  DEVECI,KG,20,50.0,35.0
01/03/2025,SEBZE,ARMUT  S.MARIA,KG,25,50.0,37.5
01/03/2025,SEBZE,AYVA,KG,20,40.0,30.0
01/03/2025,SEBZE,CILEK,KG,190,280.0,235.0
01/03/2025,SEBZE,ELMA  ARJANTİN,KG,20,45.0,32.5
01/03/2025,SEBZE,ELMA  GOLDEN,KG,15,35.0,25.0
01/03/2025,SEBZE,ELMA GSMİT,KG,15,45.0,30.0
01/03/2025,SEBZE,KESTANE,KG,100,200.0,150.0
01/03/2025,SEBZE,LİMON  YENİ (MAYER),KG,10,20.0,15.0
01/03/2025,SEBZE,LİMON LAMAS,KG,15,30.0,22.5
01/03/2025,SEBZE,MANDALİNA DİĞER,KG,10,30.0,20.0
01/03/2025,SEBZE,MUŞMULA,KG,20,50.0,35.0
01/03/2025,SEBZE,NAR,KG,20,40.0,30.0
01/03/2025,SEBZE,PORTAKAL   FINIKE,KG,20,45.0,32.5
01/03/2025,SEBZE,PORTAKAL WASHINGTON,KG,20,45.0,32.5
01/03/2025,SEBZE,ANANAS,ADET,40,90.0,65.0
01/03/2025,SEBZE,BİBER KALİFORNİYA,KG,80,140.0,110.0
01/03/2025,SEBZE,MANGO,ADET,35,70.0,52.5
01/03/2025,SEBZE,PİTAHAYA,ADET,50,100.0,75.0
01/03/2025,SEBZE,BİBER  SİVRİ,KG,40,100.0,70.0
01/03/2025,SEBZE,BİBER KIRMIZI,KG,35,90.0,62.5
01/03/2025,SEBZE,BİBER SİVRİ (DİĞER),KG,25,75.0,50.0
01/03/2025,SEBZE,DENIZ BÖRÜLCESİ,ADET,10,20.0,15.0
01/03/2025,SEBZE,DOMATES  SALKIM,KG,35,65.0,50.0
01/03/2025,SEBZE,DOMATES (DİĞER),KG,40,70.0,55.0
01/03/2025,SEBZE,DOMATES PEMBE,KG,35,70.0,52.5
01/03/2025,SEBZE,FASULYE   AYSE,KG,40,100.0,70.0
01/03/2025,SEBZE,HAVUÇ,KG,15,30.0,22.5
01/03/2025,SEBZE,ISPANAK,KG,15,30.0,22.5
01/03/2025,SEBZE,KABAK TAZE,KG,25,45.0,35.0
01/03/2025,SEBZE,KARPUZ,KG,20,35.0,27.5
01/03/2025,SEBZE,KAVUN DİĞER,KG,15,40.0,27.5
01/03/2025,SEBZE,KEREVIZ,KG,20,35.0,27.5
01/03/2025,SEBZE,LAHANA  BURUKSEL,KG,30,65.0,47.5
01/03/2025,SEBZE,MANTAR,KG,60,140.0,100.0
01/03/2025,SEBZE,MARUL,ADET,10,35.0,22.5
01/03/2025,SEBZE,MARUL KIVIRCIK,ADET,20,40.0,30.0
01/03/2025,SEBZE,PANCAR,KG,10,30.0,20.0
01/03/2025,SEBZE,PATATES DİĞER,KG,8,25.0,16.5
01/03/2025,SEBZE,PATLICAN  UZUN,KG,35,80.0,57.5
01/03/2025,SEBZE,PAZI,ADET,10,25.0,17.5
01/03/2025,SEBZE,SALATALIK ,KG,30,55.0,42.5
01/03/2025,SEBZE,SALATALIK ÇENGELKÖY,KG,25,45.0,35.0
01/03/2025,SEBZE,SEMIZ OTU,ADET,10,25.0,17.5
01/03/2025,SEBZE,SOĞAN   KURU,KG,10,30.0,20.0
01/03/2025,SEBZE,SOĞAN MOR,KG,15,35.0,25.0
01/03/2025,SEBZE,TURP DİĞER,KG,10,20.0,15.0
01/03/2025,SEBZE,YERELMASI,KG,30,50.0,40.0
01/03/2025,SEBZE,Y.NANE,BAĞ,3,6.0,4.5
01/03/2025,SEBZE,Y.ROKA,BAĞ,3,6.0,4.5
01/03/2025,SEBZE,ARMUT  DİĞER,KG,20,55.0,37.5
01/03/2025,SEBZE,ARMUT AKÇA,KG,20,45.0,32.5
01/03/2025,SEBZE,CENNET ELMASI,KG,35,80.0,57.5
01/03/2025,SEBZE,ELMA  AMASYA,KG,30,55.0,42.5
01/03/2025,SEBZE,ELMA  DİĞER,KG,15,45.0,30.0
01/03/2025,SEBZE,ELMA  STARKING,KG,20,40.0,30.0
01/03/2025,SEBZE,GREYFURT,KG,15,30.0,22.5
01/03/2025,SEBZE,KIVI  ,KG,50,90.0,70.0
01/03/2025,SEBZE,LİMON DİĞER ,KG,15,35.0,25.0
01/03/2025,SEBZE,MANDALİNA,KG,15,40.0,27.5
01/03/2025,SEBZE,MANDALİNA SATSUMA,KG,20,45.0,32.5
01/03/2025,SEBZE,MUZ  YERLI,KG,35,55.0,45.0
01/03/2025,SEBZE,PORTAKAL  ,KG,20,45.0,32.5
01/03/2025,SEBZE,PORTAKAL DİĞER,KG,10,30.0,20.0
01/03/2025,SEBZE,AVAKADO,ADET,25,50.0,37.5
01/03/2025,SEBZE,HINDISTAN CEVIZI,ADET,40,65.0,52.5
01/03/2025,SEBZE,MUZ  ITHAL,KG,45,75.0,60.0
01/03/2025,SEBZE,ZENCEFİL,KG,80,200.0,140.0
01/04/2025,SEBZE,BİBER  KIL ACI,KG,40,100.0,70.0
01/04/2025,SEBZE,BİBER ÇARLİSTON,KG,30,75.0,52.5
01/04/2025,SEBZE,BİBER KÖY(MAZO),KG,25,90.0,57.5
01/04/2025,SEBZE,BROKOLI,KG,25,50.0,37.5
01/04/2025,SEBZE,DOMATES  BEEF,KG,15,45.0,30.0
01/04/2025,SEBZE,DOMATES CHERRY,KG,30,70.0,50.0
01/04/2025,SEBZE,DOMATES (KOKTEYL),KG,35,75.0,55.0
01/04/2025,SEBZE,DOMATES SALKIM  (İYİ TARIM),KG,30,85.0,57.5
01/04/2025,SEBZE,FASULYE   CALI,KG,45,90.0,67.5
01/04/2025,SEBZE,HAVUÇ BEYPAZARI,KG,8,25.0,16.5
01/04/2025,SEBZE,KABAK  BAL,KG,15,25.0,20.0
01/04/2025,SEBZE,KARNABAHAR,KG,25,55.0,40.0
01/04/2025,SEBZE,KAVUN  SERA,KG,20,35.0,27.5
01/04/2025,SEBZE,KAVUN KIRKAĞAÇ,KG,15,30.0,22.5
01/04/2025,SEBZE,LAHANA  BEYAZ,KG,10,30.0,20.0
01/04/2025,SEBZE,LAHANA  KIRMIZI,KG,25,60.0,42.5
01/04/2025,SEBZE,MANTAR (İSTİRİDYE),KG,65,170.0,117.5
01/04/2025,SEBZE,MARUL AYSBERG,ADET,12,45.0,28.5
01/04/2025,SEBZE,MARUL LOLOROSSO,ADET,10,40.0,25.0
01/04/2025,SEBZE,PATATES  CALMA,KG,10,25.0,17.5
01/04/2025,SEBZE,PATATES TAZE,KG,10,35.0,22.5
01/04/2025,SEBZE,PATLICAN TOPAN,KG,35,80.0,57.5
01/04/2025,SEBZE,PIRASA,KG,10,35.0,22.5
01/04/2025,SEBZE,SALATALIK  SİLOR,KG,25,55.0,40.0
01/04/2025,SEBZE,SARIMSAK  KURU,KG,60,200.0,130.0
01/04/2025,SEBZE,SOĞAN   KIRMIZI,KG,17,50.0,33.5
01/04/2025,SEBZE,SOĞAN   TAZE,KG,35,80.0,57.5
01/04/2025,SEBZE,TURP  KIRMIZI,KG,15,25.0,20.0
01/04/2025,SEBZE,Y.DEREOTU,BAĞ,3,8.0,5.5
01/04/2025,SEBZE,Y.MAYDONOZ,BAĞ,3,6.0,4.5
01/04/2025,SEBZE,Y.REYHAN,ADET,8,20.0,14.0
01/04/2025,SEBZE,Y.TERE,BAĞ,3,7.0,5.0
01/04/2025,SEBZE,ARMUT  DEVECI,KG,20,50.0,35.0
01/04/2025,SEBZE,ARMUT  S.MARIA,KG,25,50.0,37.5
01/04/2025,SEBZE,AYVA,KG,20,40.0,30.0
01/04/2025,SEBZE,CILEK,KG,190,280.0,235.0
01/04/2025,SEBZE,ELMA  ARJANTİN,KG,20,45.0,32.5
01/04/2025,SEBZE,ELMA  GOLDEN,KG,15,35.0,25.0
01/04/2025,SEBZE,ELMA GSMİT,KG,15,45.0,30.0
01/04/2025,SEBZE,KESTANE,KG,100,200.0,150.0
01/04/2025,SEBZE,LİMON  YENİ (MAYER),KG,10,20.0,15.0
01/04/2025,SEBZE,LİMON LAMAS,KG,15,30.0,22.5
01/04/2025,SEBZE,MANDALİNA DİĞER,KG,10,30.0,20.0
01/04/2025,SEBZE,MUŞMULA,KG,20,50.0,35.0
01/04/2025,SEBZE,NAR,KG,20,40.0,30.0
01/04/2025,SEBZE,PORTAKAL   FINIKE,KG,20,45.0,32.5
01/04/2025,SEBZE,PORTAKAL WASHINGTON,KG,20,45.0,32.5
01/04/2025,SEBZE,ANANAS,ADET,40,90.0,65.0
01/04/2025,SEBZE,BİBER KALİFORNİYA,KG,80,140.0,110.0
01/04/2025,SEBZE,MANGO,ADET,35,70.0,52.5
01/04/2025,SEBZE,PİTAHAYA,ADET,50,100.0,75.0
01/04/2025,SEBZE,BİBER  SİVRİ,KG,40,100.0,70.0
01/04/2025,SEBZE,BİBER KIRMIZI,KG,35,90.0,62.5
01/04/2025,SEBZE,BİBER SİVRİ (DİĞER),KG,25,75.0,50.0
01/04/2025,SEBZE,DENIZ BÖRÜLCESİ,ADET,10,20.0,15.0
01/04/2025,SEBZE,DOMATES  SALKIM,KG,35,65.0,50.0
01/04/2025,SEBZE,DOMATES (DİĞER),KG,40,70.0,55.0
01/04/2025,SEBZE,DOMATES PEMBE,KG,35,70.0,52.5
01/04/2025,SEBZE,FASULYE   AYSE,KG,40,100.0,70.0
01/04/2025,SEBZE,HAVUÇ,KG,15,30.0,22.5
01/04/2025,SEBZE,ISPANAK,KG,15,30.0,22.5
01/04/2025,SEBZE,KABAK TAZE,KG,25,45.0,35.0
01/04/2025,SEBZE,KARPUZ,KG,20,35.0,27.5
01/04/2025,SEBZE,KAVUN DİĞER,KG,15,40.0,27.5
01/04/2025,SEBZE,KEREVIZ,KG,20,35.0,27.5
01/04/2025,SEBZE,LAHANA  BURUKSEL,KG,30,65.0,47.5
01/04/2025,SEBZE,MANTAR,KG,60,140.0,100.0
01/04/2025,SEBZE,MARUL,ADET,10,35.0,22.5
01/04/2025,SEBZE,MARUL KIVIRCIK,ADET,20,40.0,30.0
01/04/2025,SEBZE,PANCAR,KG,10,30.0,20.0
01/04/2025,SEBZE,PATATES DİĞER,KG,8,25.0,16.5
01/04/2025,SEBZE,PATLICAN  UZUN,KG,35,80.0,57.5
01/04/2025,SEBZE,PAZI,ADET,10,25.0,17.5
01/04/2025,SEBZE,SALATALIK ,KG,30,55.0,42.5
01/04/2025,SEBZE,SALATALIK ÇENGELKÖY,KG,25,45.0,35.0
01/04/2025,SEBZE,SEMIZ OTU,ADET,10,25.0,17.5
01/04/2025,SEBZE,SOĞAN   KURU,KG,10,30.0,20.0
01/04/2025,SEBZE,SOĞAN MOR,KG,15,35.0,25.0
01/04/2025,SEBZE,TURP DİĞER,KG,10,20.0,15.0
01/04/2025,SEBZE,YERELMASI,KG,30,50.0,40.0
01/04/2025,SEBZE,Y.NANE,BAĞ,3,6.0,4.5
01/04/2025,SEBZE,Y.ROKA,BAĞ,3,6.0,4.5
01/04/2025,SEBZE,ARMUT  DİĞER,KG,20,55.0,37.5
01/04/2025,SEBZE,ARMUT AKÇA,KG,20,45.0,32.5
01/04/2025,SEBZE,CENNET ELMASI,KG,35,80.0,57.5
01/04/2025,SEBZE,ELMA  AMASYA,KG,30,55.0,42.5
01/04/2025,SEBZE,ELMA  DİĞER,KG,15,45.0,30.0
01/04/2025,SEBZE,ELMA  STARKING,KG,20,40.0,30.0
01/04/2025,SEBZE,GREYFURT,KG,15,30.0,22.5
01/04/2025,SEBZE,KIVI  ,KG,50,90.0,70.0
01/04/2025,SEBZE,LİMON DİĞER ,KG,15,35.0,25.0
01/04/2025,SEBZE,MANDALİNA,KG,15,40.0,27.5
01/04/2025,SEBZE,MANDALİNA SATSUMA,KG,20,45.0,32.5
01/04/2025,SEBZE,MUZ  YERLI,KG,35,55.0,45.0
01/04/2025,SEBZE,PORTAKAL  ,KG,20,45.0,32.5
01/04/2025,SEBZE,PORTAKAL DİĞER,KG,10,30.0,20.0
01/04/2025,SEBZE,AVAKADO,ADET,25,50.0,37.5
01/04/2025,SEBZE,HINDISTAN CEVIZI,ADET,40,65.0,52.5
01/04/2025,SEBZE,MUZ  ITHAL,KG,45,75.0,60.0
01/04/2025,SEBZE,ZENCEFİL,KG,80,200.0,140.0
01/06/2025,SEBZE,BİBER  KIL ACI,KG,40,100.0,70.0
01/06/2025,SEBZE,BİBER ÇARLİSTON,KG,30,80.0,55.0
01/06/2025,SEBZE,BİBER KÖY(MAZO),KG,25,90.0,57.5
01/06/2025,SEBZE,BROKOLI,KG,25,50.0,37.5
01/06/2025,SEBZE,DOMATES  BEEF,KG,15,45.0,30.0
01/06/2025,SEBZE,DOMATES CHERRY,KG,30,70.0,50.0
01/06/2025,SEBZE,DOMATES (KOKTEYL),KG,35,75.0,55.0
01/06/2025,SEBZE,DOMATES SALKIM  (İYİ TARIM),KG,30,85.0,57.5
01/06/2025,SEBZE,FASULYE   CALI,KG,45,90.0,67.5
01/06/2025,SEBZE,HAVUÇ BEYPAZARI,KG,8,25.0,16.5
01/06/2025,SEBZE,KABAK  BAL,KG,15,30.0,22.5
01/06/2025,SEBZE,KARNABAHAR,KG,25,55.0,40.0
01/06/2025,SEBZE,KAVUN  SERA,KG,20,35.0,27.5
01/06/2025,SEBZE,KAVUN KIRKAĞAÇ,KG,15,30.0,22.5
01/06/2025,SEBZE,LAHANA  BEYAZ,KG,10,30.0,20.0
01/06/2025,SEBZE,LAHANA  KIRMIZI,KG,25,60.0,42.5
01/06/2025,SEBZE,MANTAR (İSTİRİDYE),KG,65,170.0,117.5
01/06/2025,SEBZE,MARUL AYSBERG,ADET,12,45.0,28.5
01/06/2025,SEBZE,MARUL LOLOROSSO,ADET,10,40.0,25.0
01/06/2025,SEBZE,PATATES  CALMA,KG,10,25.0,17.5
01/06/2025,SEBZE,PATATES TAZE,KG,10,35.0,22.5
01/06/2025,SEBZE,PATLICAN TOPAN,KG,35,80.0,57.5
01/06/2025,SEBZE,PIRASA,KG,10,35.0,22.5
01/06/2025,SEBZE,SALATALIK  SİLOR,KG,25,55.0,40.0
01/06/2025,SEBZE,SARIMSAK  KURU,KG,60,200.0,130.0
01/06/2025,SEBZE,SOĞAN   KIRMIZI,KG,17,50.0,33.5
01/06/2025,SEBZE,SOĞAN   TAZE,KG,35,80.0,57.5
01/06/2025,SEBZE,TURP  KIRMIZI,KG,15,25.0,20.0
01/06/2025,SEBZE,Y.DEREOTU,BAĞ,3,8.0,5.5
01/06/2025,SEBZE,Y.MAYDONOZ,BAĞ,3,6.0,4.5
01/06/2025,SEBZE,Y.REYHAN,ADET,8,20.0,14.0
01/06/2025,SEBZE,Y.TERE,BAĞ,3,7.0,5.0
01/06/2025,SEBZE,ARMUT  DEVECI,KG,20,55.0,37.5
01/06/2025,SEBZE,ARMUT  S.MARIA,KG,25,60.0,42.5
01/06/2025,SEBZE,AYVA,KG,20,50.0,35.0
01/06/2025,SEBZE,CILEK,KG,190,280.0,235.0
01/06/2025,SEBZE,ELMA  ARJANTİN,KG,20,45.0,32.5
01/06/2025,SEBZE,ELMA  GOLDEN,KG,15,35.0,25.0
01/06/2025,SEBZE,ELMA GSMİT,KG,15,50.0,32.5
01/06/2025,SEBZE,KESTANE,KG,100,200.0,150.0
01/06/2025,SEBZE,LİMON  YENİ (MAYER),KG,10,20.0,15.0
01/06/2025,SEBZE,LİMON LAMAS,KG,15,30.0,22.5
01/06/2025,SEBZE,MANDALİNA DİĞER,KG,10,30.0,20.0
01/06/2025,SEBZE,MUŞMULA,KG,20,50.0,35.0
01/06/2025,SEBZE,NAR,KG,20,40.0,30.0
01/06/2025,SEBZE,PORTAKAL   FINIKE,KG,20,45.0,32.5
01/06/2025,SEBZE,PORTAKAL WASHINGTON,KG,20,45.0,32.5
01/06/2025,SEBZE,ANANAS,ADET,40,95.0,67.5
01/06/2025,SEBZE,BİBER KALİFORNİYA,KG,80,140.0,110.0
01/06/2025,SEBZE,MANGO,ADET,35,70.0,52.5
01/06/2025,SEBZE,PİTAHAYA,ADET,50,100.0,75.0
01/06/2025,SEBZE,BİBER  SİVRİ,KG,40,100.0,70.0
01/06/2025,SEBZE,BİBER KIRMIZI,KG,35,90.0,62.5
01/06/2025,SEBZE,BİBER SİVRİ (DİĞER),KG,25,75.0,50.0
01/06/2025,SEBZE,DENIZ BÖRÜLCESİ,ADET,10,20.0,15.0
01/06/2025,SEBZE,DOMATES  SALKIM,KG,35,65.0,50.0
01/06/2025,SEBZE,DOMATES (DİĞER),KG,40,70.0,55.0
01/06/2025,SEBZE,DOMATES PEMBE,KG,35,60.0,47.5
01/06/2025,SEBZE,FASULYE   AYSE,KG,40,100.0,70.0
01/06/2025,SEBZE,HAVUÇ,KG,15,30.0,22.5
01/06/2025,SEBZE,ISPANAK,KG,15,30.0,22.5
01/06/2025,SEBZE,KABAK TAZE,KG,25,45.0,35.0
01/06/2025,SEBZE,KARPUZ,KG,20,35.0,27.5
01/06/2025,SEBZE,KAVUN DİĞER,KG,15,40.0,27.5
01/06/2025,SEBZE,KEREVIZ,KG,20,35.0,27.5
01/06/2025,SEBZE,LAHANA  BURUKSEL,KG,30,65.0,47.5
01/06/2025,SEBZE,MANTAR,KG,60,140.0,100.0
01/06/2025,SEBZE,MARUL,ADET,10,35.0,22.5
01/06/2025,SEBZE,MARUL KIVIRCIK,ADET,20,40.0,30.0
01/06/2025,SEBZE,PANCAR,KG,10,30.0,20.0
01/06/2025,SEBZE,PATATES DİĞER,KG,8,25.0,16.5
01/06/2025,SEBZE,PATLICAN  UZUN,KG,35,80.0,57.5
01/06/2025,SEBZE,PAZI,ADET,10,25.0,17.5
01/06/2025,SEBZE,SALATALIK ,KG,30,55.0,42.5
01/06/2025,SEBZE,SALATALIK ÇENGELKÖY,KG,25,45.0,35.0
01/06/2025,SEBZE,SEMIZ OTU,ADET,10,25.0,17.5
01/06/2025,SEBZE,SOĞAN   KURU,KG,10,30.0,20.0
01/06/2025,SEBZE,SOĞAN MOR,KG,15,35.0,25.0
01/06/2025,SEBZE,TURP DİĞER,KG,10,20.0,15.0
01/06/2025,SEBZE,YERELMASI,KG,30,50.0,40.0
01/06/2025,SEBZE,Y.NANE,BAĞ,3,6.0,4.5
01/06/2025,SEBZE,Y.ROKA,BAĞ,3,6.0,4.5
01/06/2025,SEBZE,ARMUT  DİĞER,KG,20,50.0,35.0
01/06/2025,SEBZE,ARMUT AKÇA,KG,20,45.0,32.5
01/06/2025,SEBZE,CENNET ELMASI,KG,35,80.0,57.5
01/06/2025,SEBZE,ELMA  AMASYA,KG,30,55.0,42.5
01/06/2025,SEBZE,ELMA  DİĞER,KG,15,45.0,30.0
01/06/2025,SEBZE,ELMA  STARKING,KG,20,40.0,30.0
01/06/2025,SEBZE,GREYFURT,KG,15,30.0,22.5
01/06/2025,SEBZE,KIVI  ,KG,50,90.0,70.0
01/06/2025,SEBZE,LİMON DİĞER ,KG,15,35.0,25.0
01/06/2025,SEBZE,MANDALİNA,KG,15,40.0,27.5
01/06/2025,SEBZE,MANDALİNA SATSUMA,KG,20,45.0,32.5
01/06/2025,SEBZE,MUZ  YERLI,KG,35,55.0,45.0
01/06/2025,SEBZE,PORTAKAL  ,KG,20,45.0,32.5
01/06/2025,SEBZE,PORTAKAL DİĞER,KG,10,30.0,20.0
01/06/2025,SEBZE,AVAKADO,ADET,25,50.0,37.5
01/06/2025,SEBZE,HINDISTAN CEVIZI,ADET,40,65.0,52.5
01/06/2025,SEBZE,MUZ  ITHAL,KG,45,75.0,60.0
01/06/2025,SEBZE,ZENCEFİL,KG,80,200.0,140.0
01/07/2025,SEBZE,BİBER  KIL ACI,KG,40,100.0,70.0
01/07/2025,SEBZE,BİBER ÇARLİSTON,KG,30,80.0,55.0
01/07/2025,SEBZE,BİBER KÖY(MAZO),KG,25,90.0,57.5
01/07/2025,SEBZE,BROKOLI,KG,25,50.0,37.5
01/07/2025,SEBZE,DOMATES  BEEF,KG,15,45.0,30.0
01/07/2025,SEBZE,DOMATES CHERRY,KG,30,70.0,50.0
01/07/2025,SEBZE,DOMATES (KOKTEYL),KG,35,75.0,55.0
01/07/2025,SEBZE,DOMATES SALKIM  (İYİ TARIM),KG,30,85.0,57.5
01/07/2025,SEBZE,FASULYE   CALI,KG,45,90.0,67.5
01/07/2025,SEBZE,HAVUÇ BEYPAZARI,KG,8,25.0,16.5
01/07/2025,SEBZE,KABAK  BAL,KG,15,30.0,22.5
01/07/2025,SEBZE,KARNABAHAR,KG,25,55.0,40.0
01/07/2025,SEBZE,KAVUN  SERA,KG,20,35.0,27.5
01/07/2025,SEBZE,KAVUN KIRKAĞAÇ,KG,15,30.0,22.5
01/07/2025,SEBZE,LAHANA  BEYAZ,KG,10,30.0,20.0
01/07/2025,SEBZE,LAHANA  KIRMIZI,KG,25,60.0,42.5
01/07/2025,SEBZE,MANTAR (İSTİRİDYE),KG,65,170.0,117.5
01/07/2025,SEBZE,MARUL AYSBERG,ADET,12,45.0,28.5
01/07/2025,SEBZE,MARUL LOLOROSSO,ADET,10,40.0,25.0
01/07/2025,SEBZE,PATATES  CALMA,KG,10,25.0,17.5
01/07/2025,SEBZE,PATATES TAZE,KG,10,35.0,22.5
01/07/2025,SEBZE,PATLICAN TOPAN,KG,35,80.0,57.5
01/07/2025,SEBZE,PIRASA,KG,10,35.0,22.5
01/07/2025,SEBZE,SALATALIK  SİLOR,KG,25,55.0,40.0
01/07/2025,SEBZE,SARIMSAK  KURU,KG,60,200.0,130.0
01/07/2025,SEBZE,SOĞAN   KIRMIZI,KG,17,50.0,33.5
01/07/2025,SEBZE,SOĞAN   TAZE,KG,35,80.0,57.5
01/07/2025,SEBZE,TURP  KIRMIZI,KG,15,25.0,20.0
01/07/2025,SEBZE,Y.DEREOTU,BAĞ,3,8.0,5.5
01/07/2025,SEBZE,Y.MAYDONOZ,BAĞ,3,6.0,4.5
01/07/2025,SEBZE,Y.REYHAN,ADET,8,20.0,14.0
01/07/2025,SEBZE,Y.TERE,BAĞ,3,7.0,5.0
01/07/2025,SEBZE,ARMUT  DEVECI,KG,20,55.0,37.5
01/07/2025,SEBZE,ARMUT  S.MARIA,KG,25,60.0,42.5
01/07/2025,SEBZE,AYVA,KG,20,50.0,35.0
01/07/2025,SEBZE,CILEK,KG,190,280.0,235.0
01/07/2025,SEBZE,ELMA  ARJANTİN,KG,20,45.0,32.5
01/07/2025,SEBZE,ELMA  GOLDEN,KG,15,35.0,25.0
01/07/2025,SEBZE,ELMA GSMİT,KG,15,50.0,32.5
01/07/2025,SEBZE,KESTANE,KG,100,200.0,150.0
01/07/2025,SEBZE,LİMON  YENİ (MAYER),KG,10,20.0,15.0
01/07/2025,SEBZE,LİMON LAMAS,KG,15,30.0,22.5
01/07/2025,SEBZE,MANDALİNA DİĞER,KG,10,30.0,20.0
01/07/2025,SEBZE,MUŞMULA,KG,20,50.0,35.0
01/07/2025,SEBZE,NAR,KG,20,40.0,30.0
01/07/2025,SEBZE,PORTAKAL   FINIKE,KG,20,45.0,32.5
01/07/2025,SEBZE,PORTAKAL WASHINGTON,KG,20,45.0,32.5
01/07/2025,SEBZE,ANANAS,ADET,40,95.0,67.5
01/07/2025,SEBZE,BİBER KALİFORNİYA,KG,80,140.0,110.0
01/07/2025,SEBZE,MANGO,ADET,35,70.0,52.5
01/07/2025,SEBZE,PİTAHAYA,ADET,50,100.0,75.0
01/07/2025,SEBZE,BİBER  SİVRİ,KG,40,100.0,70.0
01/07/2025,SEBZE,BİBER KIRMIZI,KG,35,90.0,62.5
01/07/2025,SEBZE,BİBER SİVRİ (DİĞER),KG,25,75.0,50.0
01/07/2025,SEBZE,DENIZ BÖRÜLCESİ,ADET,10,20.0,15.0
01/07/2025,SEBZE,DOMATES  SALKIM,KG,35,65.0,50.0
01/07/2025,SEBZE,DOMATES (DİĞER),KG,40,70.0,55.0
01/07/2025,SEBZE,DOMATES PEMBE,KG,35,60.0,47.5
01/07/2025,SEBZE,FASULYE   AYSE,KG,40,100.0,70.0
01/07/2025,SEBZE,HAVUÇ,KG,15,30.0,22.5
01/07/2025,SEBZE,ISPANAK,KG,15,30.0,22.5
01/07/2025,SEBZE,KABAK TAZE,KG,25,45.0,35.0
01/07/2025,SEBZE,KARPUZ,KG,20,35.0,27.5
01/07/2025,SEBZE,KAVUN DİĞER,KG,15,40.0,27.5
01/07/2025,SEBZE,KEREVIZ,KG,20,35.0,27.5
01/07/2025,SEBZE,LAHANA  BURUKSEL,KG,30,65.0,47.5
01/07/2025,SEBZE,MANTAR,KG,60,140.0,100.0
01/07/2025,SEBZE,MARUL,ADET,10,35.0,22.5
01/07/2025,SEBZE,MARUL KIVIRCIK,ADET,20,40.0,30.0
01/07/2025,SEBZE,PANCAR,KG,10,30.0,20.0
